text,label,label_id
仅仅是偶尔地追寻微醺的感觉，没问题，但是当你开始觉得就本身好喝，那就完了，啤酒喝出香来，白酒喝出甜来，就说明你上瘾了,Neutral,1
现在感觉中药都比啤酒好喝,Positive,2
有,Neutral,1
这事咋说呢，我觉得有时候吧，交朋友就不一定需要他们帮些什么，不害我们就行了。,Neutral,1
上一期[捂脸],Negative,0
我刷了前面那个抽烟的，我自己初中开始抽，但是现在抽烟感觉很难抽，年前买的一包烟现在没抽完[捂脸]，喝酒也是，喝了七八年酒了，但是平时也不会想喝，只是在吃烧烤什么的时候喜欢整点啤的这是为什么[暗中观察],Neutral,1
从110的体重喝到150斤 啤酒 威士忌 金酒 白兰地 IPA  24年到现在365天有340天在喝酒 后来去年做了调酒师 已经成了一个瘦胖子 四肢纤细 肚子大[憨笑],Neutral,1
酒醒了就很精神,Neutral,1
这玩意喝完感觉太难喝，可能喝醉了那种能随便睡着的感觉挺让着迷，但是一瓶酒能买3粒安眠药了,Negative,0
我是一个重度酒精依赖症患者，在此劝诫大家，千万不要妄图自己戒酒，我尝试了许久，发现自己根本办不到，所以我参加了互助会，我们互相分享故事，勉励对方，互帮互助，终于我的酒量上涨了,Negative,0
他去的酒吧,Neutral,1
纯瘾大吧,Neutral,1
甜菜,Neutral,1
喝过 不甜,Neutral,1
会上瘾 真的 我从16年读初中的时候开始喝酒 一开始读书很厉害的 后面因为叛逆了 转学 天天逃课去喝酒 现在26年了 我每天都在喝酒 有酒瘾 来姨妈也喝 不喝我一天睡不着 我尝试过戒酒 戒不了 没有用[流泪][流泪],Negative,0
无醇啤酒🍺,Neutral,1
喜欢喝就喝，不喜欢喝就不喝。大家都只活一次，但是希望大家喝醉不要做出格的事，还有就是适量，可以三五天，一两周喝一次，不要喝太醉，给你的身体一点恢复时间，祝大家喝一辈子的酒。,Positive,2
从小我家长辈就给我们喝酒，现在就是一个酒蒙子[捂脸],Negative,0
不早说！,Neutral,1
你已经有了,Neutral,1
我是品不了，最起码百分之90的人不能像你这样品白酒,Neutral,1
我也是不喝酒睡觉出汗，睡不好,Positive,2
那真的只能靠他自己的意志力[笑哭],Negative,0
不会是碧蓝之海那样的潜水社吧 [杀马特],Neutral,1
那你喝的可能是假酒哦[黑脸],Negative,0
真是这样。我那天请别人吃饭自己带的白酒，所有人都说喝起来辣喉咙吞不下去，我喝着可甜了，狠狠吞，我喝完两杯他们才喝一杯多一点点,Neutral,1
兄弟和我一样，7瓶准趴下，70%会吐,Neutral,1
少喝点透透就好了[灵机一动],Positive,2
entp是吧,Neutral,1
"我也经常喝酒，我认为就是不要喝到吐，喝到难受。
不要喝到胡言乱语，耍酒疯丢人。
其余想怎么喝怎么喝。",Neutral,1
我工作两年了都没断过片，喝过酒 也醉过 但对酒就是喜欢不起来 好难喝,Positive,2
先喝白的。再喝啤的。更爽,Neutral,1
味道难喝，但喝多了就舒服很多，下班也不累了,Negative,0
我现在19岁，女，不是耍酷，只是喜欢喝醉的感觉，现在养成习惯了每天都要喝酒[捂脸],Neutral,1
只要还有酒精都会头疼啊,Negative,0
用鹅岛还行,Neutral,1
[666]我喝一瓶玻汾就断片了,Neutral,1
反正记忆力不好是真的  很多事还有人名记不起来  有的时候一个简单的词也想不起来[暗中观察],Negative,0
十五岁才开始喝？太晚了，我十岁就开始喝威士忌了[微笑],Neutral,1
渡过不了，大家一起喝[捂脸][捂脸],Negative,0
好难戒啊，戒酒要先戒圈子哦。之前喝酒的朋友圈全都要断了，不然不可能戒酒,Positive,2
换个不喝酒的老公,Neutral,1
别喝精酿了[捂脸],Negative,0
我每天晚上喝酒也没见到我有酒瘾啊,Neutral,1
风花雪月的桃花啤酒 你试试 或者1664的桃红,Neutral,1
酒精成瘾的人，喝多了第二天头晕头痛不难受吗？我每次醉酒后第二天都特别痛苦，头晕头疼吃不下饭，像生大病一样,Negative,0
真正的酒鬼不需要朋友 比如我只在家喝,Neutral,1
送去过了出来照喝不误[捂脸],Negative,0
一天两次或者三次,Neutral,1
酒品不好是借口，你也没见他去抢银行去公安局打人，这说明他是清醒的，只是借着酒劲做之前不敢做的事情，你永远叫不醒一个装睡的人[抠鼻]。,Positive,2
人没点不良嗜好怎么活,Positive,2
不影响发育？,Neutral,1
他喝的假酒。第二天头疼,Negative,0
厉害，佩服[赞],Positive,2
当年还在国内[看][看][看],Positive,2
成瘾了很难戒，除非一口不喝，否则戒十年再喝也是一样，帮他一起度过难关吧,Neutral,1
我十九岁男生晚上不喝酒睡不着觉,Neutral,1
[捂脸],Negative,0
行了吧我每天喝七瓶也没见上瘾啊[笑哭],Negative,0
真的吗 喝酒很多年了但还是觉得很难喝[捂脸],Negative,0
我昨晚刚停一天今天就刷到了,Neutral,1
说实话要真成瘾了   戒你都比戒酒容易,Neutral,1
不会成瘾会成为一种生活方式,Neutral,1
天生歌厅体质,Neutral,1
那你别喝,Neutral,1
酒精计划,Neutral,1
有可能影响，但只是喝了那么两三次，当时不知道是酒，会伤害身体，后来家里人骂过我之后成年前几乎没喝过了[看],Positive,2
戒了吧,Neutral,1
戒不下去一次喝正常量的3倍，可以有效戒酒一段时间,Neutral,1
我发现戒酒戒不下去的时候，喝一点酒会好很多,Positive,2
劲酒加啤酒在我大二的国庆节，彻底把酒戒了[微笑],Neutral,1
我也是 一天一斤多或者两斤[流泪] 现在也抖,Negative,0
@马泡 @神秘的入,Neutral,1
亲叔叔，没有事业家庭破裂，天天喝酒,Neutral,1
我不能理解，啤酒好难喝啊，我有烟瘾，但是喝酒真的会成瘾吗？[黑脸],Negative,0
那确实可能是假酒。因为茅台是酱香不可能甜的,Negative,0
我现在，最头疼的就是怎么戒烟，就像曾经的没有尝试过抽烟的那种，现在不管怎么戒烟，也不免某个时间忽然想抽一根，生理上两周内就完全没什么不适了，但是心理上的瘾我觉得应该是一辈子的折磨，想抽一根[捂脸],Negative,0
那他吗是为了剧情编的,Neutral,1
就是一点点意志力。我吸烟15年，戒了10年。去年有点焦虑，复吸一年。现在又戒了半年。身体难受就一个月。处理好心瘾[捂脸],Negative,0
我连着喝了两年多的啤酒，每天晚上都要4-5瓶，后来发现用白酒戒酒特别好戒，只要你喝白酒时不闭气，尝着那种辛辣苦涩的味道闻着那种刺鼻的气味，根本就不想喝[捂脸][捂脸],Neutral,1
那就买烈酒，气味越大越辣越难喝的酒，喝的时候不要闭气，喝完不要立马吃东西，几天就不想喝了[捂脸][捂脸],Negative,0
我34岁，酗酒几年了。每天一斤白酒，不要下酒菜，自己一个人干喝。真是戒不掉，只要一戒酒，手抖，心慌，睡觉冒虚汗。最长时戒过三个月，感觉自己戒掉了就出门去工作了。结果和同事聚会，喝了第一口，就控制不住自己了，就又沾上了。目前戒了一个月了，打算不管白的啤的，永远都不沾第一口了。,Negative,0
对喽，就这么喝,Neutral,1
到现在为止我都不理解酒这东西哪里好喝了[黑脸]味道甚至没有可乐雪碧好。也就喝完后醉醺醺的放松感让我有些着迷，我只能理解为大家为了短暂逃避生活追求刺激才会喝酒[捂脸],Negative,0
第二种方法是重新染上其他瘾，吃甜品喝奶茶看小说或者其他能让你上瘾的东西或者事情。,Negative,0
我天天喝，也没觉得上瘾啊？,Negative,0
以前我一遇到事就喝很多烟，我酒量还不错没有醉的太难受过。今年过年晚饭喝了不少白酒，晚上和朋友又喝了很多洋酒。喝混了之后第二天醉的吐了一早上，脑袋剧痛，喉咙里都是酒精混血腥味。这之后再也没喝过了,Positive,2
我喝青岛没事，但是喝崂山早上起来就头疼,Negative,0
那我照个镜子就行了,Neutral,1
我也觉得戒烟好难啊我一天一包烟左右戒了好几次生理上戒掉了心理上戒不掉看不得别人抽烟现在身体好差咳嗽痰多,Positive,2
哈哈哈哈哈哈,Neutral,1
那是上瘾初期，后期就是感觉酒不好喝了，但是不喝还总感觉没意思不知道干点啥，依赖酒精麻醉的感觉,Negative,0
酒品不好的人真别喝了，我叔外公一个平时很好的人，一喝酒就开始说胡话乱打人，我叔外婆是以前那种老一辈思想，挨了打也不说，怕丢人，硬是有回骨折了才发现，唉，酒品不好还要喝是真的害人,Positive,2
我喝到手抖的不行 还心脏不舒服 我才30不到[尬笑] 最近戒酒整夜整夜睡不着 这什么情况啊,Negative,0
不跌到谷底永远戒不了酒，我是发生了两件事彻底戒酒了，第一件事是，半夜在外面醉死过去醒来在医院，完全不知道发生了什么，第二件是是，烤箱烤羊肉醉死睡着过去了，差点把大楼烧了[捂脸][捂脸],Negative,0
这不科学家么,Neutral,1
@尤洛珂 @😀 @Numpy @chocolate [石化],Neutral,1
我不是天天喝，我是一个月喝28天,Neutral,1
喝酒真的会变傻 无论多少 只是难以察觉,Neutral,1
我天天喝也没见我有酒瘾,Neutral,1
没有，基本上都是跟好朋友一起,Positive,2
太会了，酒会越喝越好喝。酒和烟一样，一开始难以接受，越来越上瘾,Neutral,1
之前看过一片帖子，大概的意思就是人体血液当中如果有0.05%的酒精（大概一瓶500ml的啤酒），整个人的状态会更好，思维 语言 逻辑性都会提升[看],Positive,2
"往酒或者里面加老北京豆汁，鲱鱼罐头，鱼腥草，藿香正气水等，然后一边逼自己喝下去一般想不是飞天茅台劳资不喝，找个人监督自己，敢不喝就用电棍电你，不出一个星期就能戒，速成[看]
戒不了是因为你放纵，而不是克制，没有强迫自己",Positive,2
我是彻底戒酒了 和谁也不喝 任何场合都不喝[呲牙],Positive,2
我昨晚喝了两瓶黄盖汾酒，一个人在家喝到3点，然后9点起床上班,Neutral,1
因为你自己都知道你不喜欢喝酒呀,Positive,2
其实很好戒，你要每次都想，不是飞天茅台劳资不喝，每次坚持一周，周而复始，就能戒[看],Positive,2
爱喝酒的人爱喝的原因是因为酒精，而不是因为酒的味道,Positive,2
刚开始喝完他能不想那些烦心事，时间久了就依赖了,Negative,0
